,time,poi,latitude,longitude
0,2014-06-23 04:14:18,"Diaz Brothers Tailoring, 870 Market St Ste 486, San Francisco",37.7854310089,-122.407163603
1,2014-02-22 12:11:31,"Super Duper Burgers, 98 Mission St, San Francisco",37.792617325,-122.393954191
2,2013-12-20 11:12:48,"SF Party, 939 Post St, San Francisco",37.7870753662,-122.417274209
3,2013-08-15 04:14:02,"Rasputin Music, 1672 Haight St, San Francisco",37.7697157664,-122.449850504
4,2013-05-11 03:27:42,"Trader Joe's, 1095 Hyde St, San Francisco",37.7907532494,-122.417821747
5,2013-04-18 11:57:01,"KFC, 691 Eddy Street #249 Harman-Nguyen, Inc. #249 Harman-Nguyen, Inc., San Francisco",37.7830606124,-122.419010834
6,2013-04-12 04:10:04,"House of Thai, 901 Larkin St, San Francisco",37.786161,-122.418102
7,2013-02-14 02:00:16,"Sight Glass, 826 Van Ness Ave, San Francisco",37.7831694017,-122.42117881
8,2011-05-16 03:23:35,"Americano Restaurant & Bar, 8 Mission St, San Francisco",37.7937933203,-122.392853332
9,2011-05-13 04:06:04,"Hotel Vitale, 8 Mission St, San Francisco",37.7937928741,-122.392980568
10,2009-09-04 04:12:04,"Philz Coffee, 748 Van Ness Ave, San Francisco",37.7824469992,-122.420450449
